City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,78.35,clear sky,-9.8,-139.0333,Villa Enata
4,Campana,AR,78.66,light rain,-34.1687,-58.9591,Hotel Morada Suites
6,Maragogi,BR,78.76,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
7,Kavieng,PG,83.88,light rain,-2.5744,150.7967,Nusa Island Retreat
10,Hambantota,LK,76.12,overcast clouds,6.1241,81.1185,Bungalow 63
11,Rikitea,PF,78.19,light rain,-23.1203,-134.9692,People ThankYou
15,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
17,Kathu,TH,86.63,broken clouds,7.9178,98.3332,Novotel Phuket Resort
21,Mar Del Plata,AR,76.08,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
22,Sao Filipe,CV,75.72,clear sky,14.8961,-24.4956,Hotel Xaguate
24,Denpasar,ID,87.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
40,Buchanan,LR,76.28,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
43,Sabang,ID,82.11,broken clouds,5.8933,95.3214,Hotel Citra
65,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
72,Vaini,TO,80.31,clear sky,-21.2,-175.2,Keleti Beach Resort
74,Hervey Bay,AU,86.11,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
75,Isangel,VU,85.55,light rain,-19.55,169.2667,Tanna Lodge
79,Srandakan,ID,86.05,overcast clouds,-7.9386,110.2506,Puri Brata
87,Cap Malheureux,MU,78.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
88,Tutoia,BR,84.18,overcast clouds,-2.7619,-42.2744,Pousada Guará's
93,Blackwater,AU,86.85,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
97,Kapaa,US,78.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
98,Arraial Do Cabo,BR,75.31,clear sky,-22.9661,-42.0278,Pousada Porto Praia
104,Carnarvon,AU,84.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
105,Ahipara,NZ,76.14,clear sky,-35.1667,173.1667,Ahipara Holiday Park
107,Makakilo City,US,79.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
109,Obregon,NI,78.26,few clouds,11.9566,-85.9636,Hostal Casa Aryen
115,Butaritari,KI,81.99,light rain,3.0707,172.7902,Isles Sunset Lodge
119,Grand Gaube,MU,78.39,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
123,Pundaguitan,PH,81.61,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
127,Corumba,BR,77.47,overcast clouds,-19.0092,-57.6533,Hotel Laura Vicunha
128,Alofi,NU,81.93,light rain,-19.0595,-169.9187,Taloa Heights
140,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
