City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,78.35,76,3,15.95,clear sky
1,Goundi,TD,9.3627,17.366,70.57,21,99,6.15,overcast clouds
2,Shestakovo,RU,56.4915,103.96,-0.6,95,97,2.95,overcast clouds
3,Mandalgovi,MN,45.7625,106.2708,3.85,68,0,5.06,clear sky
4,Campana,AR,-34.1687,-58.9591,78.66,96,98,3.71,light rain
5,Fairbanks,US,64.8378,-147.7164,15.76,73,0,0.0,clear sky
6,Maragogi,BR,-9.0122,-35.2225,78.76,79,77,8.88,broken clouds
7,Kavieng,PG,-2.5744,150.7967,83.88,75,89,8.25,light rain
8,Nikolskoye,RU,59.7035,30.7861,17.49,100,81,2.84,broken clouds
9,Lebu,CL,-37.6167,-73.65,57.51,89,1,15.01,clear sky
10,Hambantota,LK,6.1241,81.1185,76.12,76,100,8.93,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,78.19,76,100,16.96,light rain
12,Punta Arenas,CL,-53.15,-70.9167,46.51,61,0,24.16,clear sky
13,Jamestown,US,42.097,-79.2353,17.19,92,100,3.44,mist
14,Hermanus,ZA,-34.4187,19.2345,66.79,87,97,12.86,overcast clouds
15,Mahebourg,MU,-20.4081,57.7,78.26,69,75,10.36,broken clouds
16,Saskylakh,RU,71.9167,114.0833,9.7,84,100,19.19,overcast clouds
17,Kathu,TH,7.9178,98.3332,86.63,71,54,10.16,broken clouds
18,Saldanha,ZA,-33.0117,17.9442,62.46,92,0,17.36,clear sky
19,Zhigansk,RU,66.7697,123.3711,-13.81,99,96,7.78,overcast clouds
20,Castro,BR,-24.7911,-50.0119,64.53,92,5,4.07,clear sky
21,Mar Del Plata,AR,-38.0023,-57.5575,76.08,100,75,18.01,broken clouds
22,Sao Filipe,CV,14.8961,-24.4956,75.72,59,2,10.49,clear sky
23,Mataura,NZ,-46.1927,168.8643,56.48,98,100,6.62,overcast clouds
24,Denpasar,ID,-8.65,115.2167,87.46,70,20,10.36,few clouds
25,Albany,US,42.6001,-73.9662,21.27,74,14,1.01,few clouds
26,Pisco,PE,-13.7,-76.2167,68.05,83,0,10.36,clear sky
27,Tiksi,RU,71.6872,128.8694,-2.47,95,100,13.27,overcast clouds
28,Tura,IN,25.5198,90.2201,66.79,52,0,1.68,clear sky
29,Coihaique,CL,-45.5752,-72.0662,49.59,83,0,2.19,clear sky
30,Bagdarin,RU,54.4333,113.6,-1.16,81,70,1.7,broken clouds
31,Bluff,NZ,-46.6,168.3333,56.8,76,98,21.07,overcast clouds
32,Seoul,KR,37.5683,126.9778,40.51,47,4,4.94,clear sky
33,Qaanaaq,GL,77.484,-69.3632,-11.7,60,11,7.23,few clouds
34,Akhisar,TR,38.9185,27.8401,25.86,86,43,6.67,scattered clouds
35,Shetpe,KZ,44.1667,52.1167,32.76,94,94,2.66,overcast clouds
36,Digby,CA,44.6169,-65.7655,31.15,78,100,9.06,overcast clouds
37,Saint George,US,37.1041,-113.5841,44.64,41,0,1.01,clear sky
38,Batagay-Alyta,RU,67.8006,130.4114,-9.81,89,100,3.09,overcast clouds
39,Pedasi,PA,7.5333,-80.0333,74.07,78,99,14.29,overcast clouds
40,Buchanan,LR,5.8808,-10.0467,76.28,88,4,3.49,clear sky
41,Salalah,OM,17.0151,54.0924,60.89,39,20,5.75,few clouds
42,Egvekinot,RU,66.3167,-179.1667,-26.39,90,100,0.58,overcast clouds
43,Sabang,ID,5.8933,95.3214,82.11,73,80,13.71,broken clouds
44,Airai,TL,-8.9266,125.4092,74.32,56,100,5.66,overcast clouds
45,Cape Town,ZA,-33.9258,18.4232,66.34,83,8,4.0,clear sky
46,Cap-Chat,CA,49.1001,-66.6821,12.2,79,86,6.91,overcast clouds
47,Ushuaia,AR,-54.8,-68.3,42.46,75,75,25.32,light intensity drizzle
48,Eyl,SO,7.9803,49.8164,69.17,74,48,12.37,scattered clouds
49,Pacific Grove,US,36.6177,-121.9166,54.97,88,40,3.0,scattered clouds
50,Garowe,SO,8.4054,48.4845,60.55,81,2,9.28,clear sky
51,San Vicente,AR,-26.6167,-54.1333,68.58,99,85,1.99,overcast clouds
52,Wajima,JP,37.4,136.9,45.28,84,97,20.58,overcast clouds
53,Palmer,US,42.1584,-72.3287,27.48,58,0,10.36,clear sky
54,College,US,64.8569,-147.8028,15.75,73,20,4.61,few clouds
55,Hilo,US,19.7297,-155.09,74.25,86,10,3.0,clear sky
56,Bethel,US,41.3712,-73.414,30.0,66,0,6.91,clear sky
57,Micheweni,TZ,-4.9667,39.8333,79.12,73,28,11.34,scattered clouds
58,Hobart,AU,-42.8794,147.3294,69.03,76,75,1.01,broken clouds
59,Longyearbyen,SJ,78.2186,15.6401,15.64,62,40,16.11,scattered clouds
60,Ilulissat,GL,69.2167,-51.1,12.22,57,100,29.93,light shower snow
61,Mikhaylovka,RU,50.06,43.2379,16.81,97,100,5.77,overcast clouds
62,Semey,KZ,50.4111,80.2275,1.62,78,0,8.95,clear sky
63,Yellowknife,CA,62.456,-114.3525,0.41,91,50,8.01,scattered clouds
64,Calvinia,ZA,-31.4707,19.776,58.82,67,0,4.61,clear sky
65,Avarua,CK,-21.2078,-159.775,80.65,83,75,10.36,broken clouds
66,Victoria,HK,22.2855,114.1577,72.97,82,100,15.99,overcast clouds
67,Lavrentiya,RU,65.5833,-171.0,-21.51,87,13,5.59,few clouds
68,Constitucion,CL,-35.3333,-72.4167,56.1,92,5,7.23,clear sky
69,Cherskiy,RU,68.75,161.3,-42.86,99,63,5.17,broken clouds
70,Tasiilaq,GL,65.6145,-37.6368,12.36,71,20,5.93,few clouds
71,Bredasdorp,ZA,-34.5322,20.0403,66.27,89,100,8.41,overcast clouds
72,Vaini,TO,-21.2,-175.2,80.31,70,10,12.75,clear sky
73,New Norfolk,AU,-42.7826,147.0587,68.67,47,100,5.03,overcast clouds
74,Hervey Bay,AU,-25.2986,152.8535,86.11,68,100,3.71,overcast clouds
75,Isangel,VU,-19.55,169.2667,85.55,71,17,4.68,light rain
76,Iqaluit,CA,63.7506,-68.5145,-22.27,76,75,0.0,broken clouds
77,Xining,CN,36.6167,101.7667,22.21,68,99,2.37,overcast clouds
78,Provideniya,RU,64.3833,-173.3,-8.64,59,40,6.71,scattered clouds
79,Srandakan,ID,-7.9386,110.2506,86.05,67,100,6.78,overcast clouds
80,Treinta Y Tres,UY,-33.2333,-54.3833,74.66,96,100,7.34,overcast clouds
81,Kaitangata,NZ,-46.2817,169.8464,52.12,93,99,5.75,overcast clouds
82,Okha,RU,53.5739,142.9478,-0.04,93,90,12.59,overcast clouds
